Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
IFAC - CAMPUS CRUZEIRO DO SUL,12030937,AC,Cruzeiro do Sul,Rural,"ESTRADA DA APADEQ, 1192 RML FAZENDA MODELO. NOVA OLINDA. 69980-000 Cruzeiro do Sul - AC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-7.5817149,-72.7413246
IFAC - CAMPUS SENA MADUREIRA,12030945,AC,Sena Madureira,Urbana,"FRANCISCA SOUZA DA SILVA, 318 GETULIO NUNES SAMPAIO. 69940-000 Sena Madureira - AC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.0820318,-68.6797884
IFAC - CAMPUS XAPURI,12030953,AC,Xapuri,Urbana,"CORONEL BRANDAO, 1622 CENTRO. 69930-000 Xapuri - AC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.66080029,-68.49409908
IFAC - CAMPUS RIO BRANCO,12030961,AC,Rio Branco,Urbana,"AVENIDA BRASIL, 920 CONJUNTO XAVIER MAIA. 69903-068 Rio Branco - AC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.9310661,-67.8178746
IFAC - CAMPUS AVANCADO RIO BRANCO BAIXADA DO SOL,12032093,AC,Rio Branco,Urbana,"RUA RIO GRANDE DO SUL, 2600 AEROPORTO VELHO. 69911-030 Rio Branco - AC.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.984810486,-67.82242095
IFAC - CAMPUS TARAUACA,12032441,AC,Tarauacá,Urbana,"BR 364, 821 PREDIO. RODOVIA. 69970-970 Tarauacá - AC.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-8.1433284,-70.7708514
IFAL - CAMPUS MACEIO,27037223,AL,Maceió,Urbana,"AVENIDA DO FERROVIARIO, 530 CENTRO. 57020-600 Maceió - AL.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.66424835,-35.73201026
IFAL - CAMPUS SATUBA,27041042,AL,Satuba,Urbana,"RUA 17 DE AGOSTO, SN ZONA RURAL. 57120-000 Satuba - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.573547617,-35.82053091
IFAL - CAMPUS SANTANA DO IPANEMA,27047580,AL,Santana do Ipanema,Urbana,"AL 130, 1609 DOMINGOS ACACIO. 57500-000 Santana do Ipanema - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.38456859,-37.24318906
IFAL - CAMPUS SAO MIGUEL DOS CAMPOS,27047601,AL,São Miguel dos Campos,Urbana,"AVENIDA PROJETADA 01, QUADRA B6, 41 HELIO JATOBA III. 57246-615 São Miguel dos Campos - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.78179893,-36.0958603
IFAL - CAMPUS PIRANHAS,27047628,AL,Piranhas,Urbana,"AVENIDA SERGIPE, 01 QUADRA H. CASCAVEL. 57466-034 Piranhas - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.622022,-37.76583
IFAL - CAMPUS ARAPIRACA,27047636,AL,Arapiraca,Urbana,"RODOVIA AL-110, 359 DEPUTADO NEZINHO. 57317-291 Arapiraca - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.745513,-36.63129
IFAL - CAMPUS MURICI,27047733,AL,Murici,Urbana,"LOTEAMENTO PREFEITO PEDRO TENORIO RAPOSO, S/N BR 104, KM 57. 57820-000 Murici - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.3085417,-35.9362456
IFAL - CAMPUS MARAGOGI,27047750,AL,Maragogi,Urbana,"RODOVIA AL 101 NORTE, S/N KM 139. PEROBA. 57955-000 Maragogi - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-8.94335716,-35.1744374
IFAL - CAMPUS PENEDO,27047830,AL,Penedo,Urbana,"RODOVIA ENGENHEIRO JOAQUIM GONCALVES, S/N LOTEAMENTO SAO JOSE. DOM CONSTANTINO. 57200-000 Penedo - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.28627454,-36.5442821
IFAL - CAMPUS BATALHA,27050556,AL,Batalha,Urbana,"AVENIDA GOVERNADOR AFRANIO LAGES, S/N POLO AGROALIMENTAR. CENTRO. 57420-000 Batalha - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.669296667,-37.12711167
IFAL - CAMPUS RIO LARGO,27050564,AL,Rio Largo,Urbana,"RODOVIA BR 104 KM 91, S/Nº PREFEITO ANTONIO LINS DE SOUZA. 57100-000 Rio Largo - AL.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.51130292,-35.80387673
IFAL - CAMPUS CORURIPE,27050572,AL,Coruripe,Urbana,"RODOVIA ENGENHEIRO GUTTEMBERG BREDA NETO, S/N AL-101 SUL. ALTO DO CRUZEIRO. 57230-000 Coruripe - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.12609575,-36.15650743
IFAL - CAMPUS VICOSA,27050580,AL,Viçosa,Urbana,"RUA MOTA LIMA, 35 CENTRO. 57700-000 Viçosa - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.371177,-36.2414
IFAL - CAMPUS MACEIO BENEDITO BENTES,27051757,AL,Maceió,Urbana,"AVENIDA BENEDITO BENTES, S/N BENEDITO BENTES. 57084-649 Maceió - AL.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.551495416,-35.72943463
IFAL - CAMPUS PALMEIRA DOS INDIOS,27215830,AL,Palmeira dos Índios,Urbana,"AVENIDA ALAGOAS, S/N PALMEIRA DE FORA. 57608-180 Palmeira dos Índios - AL.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-9.406661667,-36.65528333
IFAL - CAMPUS MARECHAL DEODORO,27219640,AL,Marechal Deodoro,Urbana,"RUA LOURIVAL ALFREDO, 176 POEIRA. 57160-000 Marechal Deodoro - AL.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-9.712888,-35.89345
UFAL - ESCOLA TECNICA DE ARTES,27320014,AL,Maceió,Urbana,"PRACA VISCONDE DE SINIMBU, CENTRO. 57020-720 Maceió - AL.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,-9.667688,-35.73337
IFAM - CAMPUS MANAUS ZONA LESTE,13026844,AM,Manaus,Urbana,"AVENIDA COSME FERREIRA, 8045 SAO JOSE OPERARIO. 69083-000 Manaus - AM.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-3.079984312,-59.93390095
