name,city,state,lat,lon
PRU4,Presidente Prudente,SP,-22.12008,-51.408527
STMC,Monte Carmelo,MG,-18.724026,-47.5238
STSH,Santa Helena,PR,-24.846996,-54.344364
STBR,Balneário Rincão,SC,-28.826715,-49.21393
SJCU,São José dos Campos,SP,-23.210588,-45.956593
PRU2,Presidente Prudente,SP,-22.122038,-51.407078
SJCE,São José dos Campos,SP,-23.20753,-45.85974
UFBA,Salvador,BA,-12.999826,-38.51066
SLMA,São Luís,MA,-2.593464,-44.21229
FRTZ,Fortaleza,CE,-3.7362237,-38.724846
INCO,Inconfidentes,MG,-22.318548,-46.328114
MOR3,Presidente Prudente,SP,-22.127674,-51.4133
STCP,Cachoeira Paulista,SP,-22.702269,-45.013813
STMA,Macaé,RJ,-22.388687,-41.776234
STCB,Cuiabá,MT,-15.555245,-56.06989
STSJ,São João da Boa Vista,SP,-21.997086,-46.79223
STMN,Manaus,AM,-3.1101797,-59.974903
SPSP,São Paulo,SP,-23.546099,-46.677124
STPZ,Pirapozinho,SP,-22.24089,-51.425987
ROSA,Rosana,SP,-22.523304,-52.952087
STAF,Alfredo Marcondes,SP,-21.9541,-51.41457
STCL,Colider,MT,-10.81897,-55.448093
PALM,Palmas,TO,-10.199649,-48.3113
POAL,Porto Alegre,RS,-30.073896,-51.119682
STNT,Natal,RN,-5.8405857,-35.196213
SPBO,Botucatu,SP,-22.852467,-48.4323
STCT,Curitiba,PR,-25.45694,-49.236618
STAV,Álvares Machado,SP,-22.09647,-51.49987
STSB,Baraúna,BA,-10.4339,-40.1462
STBV,Boa Vista,RR,2.8337984,-60.697174
CTAS,Presidente Prudente,SP,-22.12379,-51.40814
STAR,Araguatins,TO,-5.651169,-48.073338
STPE,Presidente Epitácio,SP,-21.785223,-52.111637
PPT5,Presidente Prudente,SP,-22.119905,-51.408535
PRU5,Presidente Prudente,SP,-22.120047,-51.408672
SBTZ,Brasília,DF,-15.762999,-47.869465
SPP5,Piracicaba,SP,-22.733065,-47.6458
SPLI,Lins,SP,-21.665205,-49.733696
STIL,Ilhéus,BA,-14.796632,-39.1724
PRMA,Maringá,PR,-23.409689,-51.938423
JUTA,Taubaté,SP,-23.019949,-45.55774
SJC1,São José dos Campos,SP,-23.208057,-45.861057
STC1,Cachoeira Paulista,SP,-22.702269,-45.013813
SAO0,São Paulo,SP,-23.547493,-46.65231
SETA,Presidente Prudente,SP,-22.12379,-51.40814
